Device,Test Name,Test Status,Message(s),Test description,Test category
pod2-leaf-3,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
pod2-leaf-3,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
pod2-leaf-3,VerifyMlagReloadDelay,success,,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
pod2-leaf-3,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
pod2-leaf-3,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
pod2-leaf-3,VerifyTelnetStatus,success,,Verifies if Telnet is disabled in the default VRF.,Security
pod2-leaf-3,VerifyDNSServers,success,,Verifies if the DNS (Domain Name Service) servers are correctly configured.,Services
pod2-leaf-3,VerifySTPBlockedPorts,success,,Verifies there is no STP blocked ports.,STP
pod2-leaf-3,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
pod2-leaf-3,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
pod2-leaf-3,VerifyCoredump,success,,Verifies there are no core dump files.,System
pod2-leaf-3,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
pod2-leaf-3,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
pod2-leaf-3,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
pod2-leaf-3,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
pod2-leaf-4,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pod2-leaf-4,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pod2-leaf-4,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
pod2-leaf-4,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pod2-leaf-4,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
pod2-leaf-4,VerifyReachability,success,,Verifies reachability to IPv4 BGP neighbors with an update source configured.,Connectivity
pod2-leaf-4,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
pod2-leaf-4,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies status.,Hardware
pod2-leaf-4,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
pod2-leaf-4,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
pod2-leaf-4,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pod2-leaf-4,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in all port channels.,Interfaces
pod2-leaf-4,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pod2-leaf-4,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
pod2-leaf-4,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
pod2-leaf-4,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
pod2-leaf-4,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pod2-leaf-4,VerifyPortChannels,success,,Verifies there are no inactive ports in all port channels.,Interfaces
pod2-leaf-4,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
pod2-leaf-4,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 14:43:36 pod2-leaf-4 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1371) -- Master ProcMgr (PID=1371) exiting.
 Jul 16 15:49:33 pod2-leaf-4 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-532a93ca-f40f-4aad-bc5b-dfa365fb093a has expired.The system configuration will be rolled back.
 Jul 16 15:49:34 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:5541/+n (ConnectionManager disconnect)
 Jul 16 15:49:34 pod2-leaf-4 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:5541/+n-in)(IgmpSnooping (pid:2701))
 Jul 16 15:49:34 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:42488/-23 (closing passive socket)
 Jul 16 15:49:34 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.28 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:34 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.1.108 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:34 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.30 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:39 pod2-leaf-4 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:2508) at tbl://mlagListen/+n closed by peer (EOF)
 Jul 16 15:49:39 pod2-leaf-4 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:2508))
 Jul 16 15:58:47 pod2-leaf-4 Mlag: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:7940) at tbt://10.255.1.76:4432/+n closed by peer (EOF)
 Jul 16 15:58:47 pod2-leaf-4 Mlag: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:4432/+n-in)(Mlag (pid:7940))
 Jul 16 15:58:48 pod2-leaf-4 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-1d85f999-d453-432f-9535-e59b6ca72f7d has expired.The system configuration will be rolled back.
 Jul 16 15:58:49 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:5541/+n (ConnectionManager disconnect)
 Jul 16 15:58:49 pod2-leaf-4 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:5541/+n-in)(IgmpSnooping (pid:2701))
 Jul 16 15:58:49 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:54806/-23 (closing passive socket)
 Jul 16 15:58:49 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.28 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:58:49 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.30 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:58:54 pod2-leaf-4 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:7885) at tbl://mlagListen/+n closed by peer (EOF)
 Jul 16 15:58:54 pod2-leaf-4 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:7885))
 Jul 16 16:04:40 pod2-leaf-4 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-4e2d998b-d2ba-470e-bd14-5daa0190e411 has expired.The system configuration will be rolled back.
 Jul 16 16:04:41 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:5541/+n (ConnectionManager disconnect)
 Jul 16 16:04:41 pod2-leaf-4 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:5541/+n-in)(IgmpSnooping (pid:2701))
 Jul 16 16:04:41 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:56890/-23 (closing passive socket)
 Jul 16 16:04:41 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.1.108 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:04:41 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.30 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:04:46 pod2-leaf-4 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:11423) at tbl://mlagListen/+n closed by peer (EOF)
 Jul 16 16:04:46 pod2-leaf-4 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:11423))
 Jul 16 16:13:10 pod2-leaf-4 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-88599ea7-628b-4963-9bd8-d91a3a1c5b1e has expired.The system configuration will be rolled back.
 Jul 16 16:13:11 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:5541/+n (ConnectionManager disconnect)
 Jul 16 16:13:11 pod2-leaf-4 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:5541/+n-in)(IgmpSnooping (pid:2701))
 Jul 16 16:13:11 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:45140/-23 (closing passive socket)
 Jul 16 16:13:11 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.1.108 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:13:11 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.30 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:13:16 pod2-leaf-4 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:16408) at tbl://mlagListen/+n closed by peer (EOF)
 Jul 16 16:13:16 pod2-leaf-4 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:16408))
 Jul 16 16:18:59 pod2-leaf-4 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-f3cf4feb-c233-4051-90a9-1e26641c5b0d has expired.The system configuration will be rolled back.
 Jul 16 16:19:00 pod2-leaf-4 Mlag: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:19995) at tbt://10.255.1.76:4432/+n closed by peer (EOF)
 Jul 16 16:19:00 pod2-leaf-4 Mlag: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:4432/+n-in)(Mlag (pid:19995))
 Jul 16 16:19:00 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:5541/+n (ConnectionManager disconnect)
 Jul 16 16:19:00 pod2-leaf-4 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.1.76:5541/+n-in)(IgmpSnooping (pid:2701))
 Jul 16 16:19:00 pod2-leaf-4 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:2701) at tbt://10.255.1.76:42784/-23 (closing passive socket)
 Jul 16 16:19:00 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.28 (VRF default AS 65151) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:19:06 pod2-leaf-4 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:19934) at tbl://mlagListen/+n closed by peer (EOF)
 Jul 16 16:19:06 pod2-leaf-4 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:19934))
 Jul 16 19:08:52 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 100.103.0.2 (VRF default AS 65000) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 19:08:52 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 100.103.0.1 (VRF default AS 65000) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: received from neighbor 10.255.254.28 (VRF default AS 65151) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: received from neighbor 10.255.254.30 (VRF default AS 65151) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:33 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 100.103.0.1 (VRF default AS 65000) 6/10 (Cease/BFD down <Hard Reset>) 0 bytes
 Jul 16 20:36:33 pod2-leaf-4 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 100.103.0.2 (VRF default AS 65000) 6/10 (Cease/BFD down <Hard Reset>) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
pod2-leaf-4,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
pod2-leaf-4,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
pod2-leaf-4,VerifyMlagReloadDelay,success,,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
pod2-leaf-4,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
pod2-leaf-4,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
pod2-leaf-4,VerifyTelnetStatus,success,,Verifies if Telnet is disabled in the default VRF.,Security
pod2-leaf-4,VerifyDNSServers,success,,Verifies if the DNS (Domain Name Service) servers are correctly configured.,Services
pod2-leaf-4,VerifySTPBlockedPorts,success,,Verifies there is no STP blocked ports.,STP
pod2-leaf-4,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
pod2-leaf-4,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
pod2-leaf-4,VerifyCoredump,success,,Verifies there are no core dump files.,System
pod2-leaf-4,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
pod2-leaf-4,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
pod2-leaf-4,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
pod2-leaf-4,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
pod2-spine-1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pod2-spine-1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pod2-spine-1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
pod2-spine-1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pod2-spine-1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
pod2-spine-1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
pod2-spine-1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies status.,Hardware
pod2-spine-1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
pod2-spine-1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
pod2-spine-1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pod2-spine-1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pod2-spine-1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
pod2-spine-1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
pod2-spine-1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
pod2-spine-1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pod2-spine-1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
pod2-spine-1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 14:43:43 pod2-spine-1 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1375) -- Master ProcMgr (PID=1375) exiting.
 Jul 16 15:49:34 pod2-spine-1 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-4b6d380a-3599-4946-bd4a-e9ed493cb47f has expired.The system configuration will be rolled back.
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.29 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.25 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.21 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.250.10 (VRF default AS 65000) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.250.8 (VRF default AS 65000) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:49:35 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.17 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 15:58:48 pod2-spine-1 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-874447dd-3dc4-49dc-8af6-42044456d5ec has expired.The system configuration will be rolled back.
 Jul 16 15:58:48 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: received from neighbor 10.255.254.17 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:04:41 pod2-spine-1 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-3c5a67f7-ab20-441b-b580-03c44ff2e873 has expired.The system configuration will be rolled back.
 Jul 16 16:04:42 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.21 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:04:42 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.250.8 (VRF default AS 65000) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:13:10 pod2-spine-1 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-a91b3922-0757-4574-9ce5-f4fd70b60d73 has expired.The system configuration will be rolled back.
 Jul 16 16:13:11 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.25 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:13:11 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.29 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:13:11 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.17 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:18:59 pod2-spine-1 ConfigAgent: %SYS-3-CONFIG_SESSION_COMMIT_TIMER_TIMEDOUT: The commit timer on session cvp-provisioning-4cc2616d-680c-4fe2-b82d-47dbd678c3a6 has expired.The system configuration will be rolled back.
 Jul 16 16:19:00 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.25 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:19:00 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.29 (VRF default AS 65104) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 16:19:00 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.17 (VRF default AS 65103) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.21 (VRF default AS 65103) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.250.10 (VRF default AS 65000) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.25 (VRF default AS 65104) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.29 (VRF default AS 65104) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.250.8 (VRF default AS 65000) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 Jul 16 20:36:32 pod2-spine-1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.254.17 (VRF default AS 65103) 6/6 (Cease/other configuration change <Hard Reset>) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
pod2-spine-1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
pod2-spine-1,VerifyTelnetStatus,success,,Verifies if Telnet is disabled in the default VRF.,Security
pod2-spine-1,VerifyDNSServers,success,,Verifies if the DNS (Domain Name Service) servers are correctly configured.,Services
pod2-spine-1,VerifySTPBlockedPorts,success,,Verifies there is no STP blocked ports.,STP
pod2-spine-1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
pod2-spine-1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
pod2-spine-1,VerifyCoredump,success,,Verifies there are no core dump files.,System
pod2-spine-1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
pod2-spine-1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
pod2-spine-1,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
pod2-spine-1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
pod2-spine-2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pod2-spine-2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pod2-spine-2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
pod2-spine-2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pod2-spine-2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
pod2-spine-2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
pod2-spine-2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies status.,Hardware
pod2-spine-2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
pod2-spine-2,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
pod2-spine-2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pod2-spine-2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
pod2-spine-2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
pod2-spine-2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
pod2-spine-2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
pod2-spine-2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pod2-spine-2,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
