Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,pod2-leaf-5,Ethernet1,10.255.254.17/31,spine,pod2-spine-1,Ethernet7,10.255.254.16/31
l3leaf,pod2-leaf-5,Ethernet2,10.255.254.19/31,spine,pod2-spine-2,Ethernet7,10.255.254.18/31
l3leaf,pod2-leaf-6,Ethernet1,10.255.254.21/31,spine,pod2-spine-1,Ethernet8,10.255.254.20/31
l3leaf,pod2-leaf-6,Ethernet2,10.255.254.23/31,spine,pod2-spine-2,Ethernet8,10.255.254.22/31
l3leaf,pod2-leaf-7,Ethernet1,10.255.254.25/31,spine,pod2-spine-1,Ethernet9,10.255.254.24/31
l3leaf,pod2-leaf-7,Ethernet2,10.255.254.27/31,spine,pod2-spine-2,Ethernet9,10.255.254.26/31
l3leaf,pod2-leaf-8,Ethernet1,10.255.254.29/31,spine,pod2-spine-1,Ethernet10,10.255.254.28/31
l3leaf,pod2-leaf-8,Ethernet2,10.255.254.31/31,spine,pod2-spine-2,Ethernet10,10.255.254.30/31
l3leaf,pod2-leaf-9,Ethernet1,10.255.254.33/31,spine,pod2-spine-1,Ethernet11,10.255.254.32/31
l3leaf,pod2-leaf-9,Ethernet2,10.255.254.35/31,spine,pod2-spine-2,Ethernet11,10.255.254.34/31
l3leaf,pod2-leaf-10,Ethernet1,10.255.254.37/31,spine,pod2-spine-1,Ethernet12,10.255.254.36/31
l3leaf,pod2-leaf-10,Ethernet2,10.255.254.39/31,spine,pod2-spine-2,Ethernet12,10.255.254.38/31
l3leaf,pod2-leaf-11,Ethernet1,10.255.254.41/31,spine,pod2-spine-1,Ethernet13,10.255.254.40/31
l3leaf,pod2-leaf-11,Ethernet2,10.255.254.43/31,spine,pod2-spine-2,Ethernet13,10.255.254.42/31
l3leaf,pod2-leaf-12,Ethernet1,10.255.254.45/31,spine,pod2-spine-1,Ethernet14,10.255.254.44/31
l3leaf,pod2-leaf-12,Ethernet2,10.255.254.47/31,spine,pod2-spine-2,Ethernet14,10.255.254.46/31
l3leaf,pod2-leaf-13,Ethernet1,10.255.254.49/31,spine,pod2-spine-1,Ethernet15,10.255.254.48/31
l3leaf,pod2-leaf-13,Ethernet2,10.255.254.51/31,spine,pod2-spine-2,Ethernet15,10.255.254.50/31
l3leaf,pod2-leaf-14,Ethernet1,10.255.254.53/31,spine,pod2-spine-1,Ethernet16,10.255.254.52/31
l3leaf,pod2-leaf-14,Ethernet2,10.255.254.55/31,spine,pod2-spine-2,Ethernet16,10.255.254.54/31
l3leaf,pod2-leaf-15,Ethernet1,10.255.254.57/31,spine,pod2-spine-1,Ethernet17,10.255.254.56/31
l3leaf,pod2-leaf-15,Ethernet2,10.255.254.59/31,spine,pod2-spine-2,Ethernet17,10.255.254.58/31
l3leaf,pod2-leaf-16,Ethernet1,10.255.254.61/31,spine,pod2-spine-1,Ethernet18,10.255.254.60/31
l3leaf,pod2-leaf-16,Ethernet2,10.255.254.63/31,spine,pod2-spine-2,Ethernet18,10.255.254.62/31
spine,pod2-spine-1,Ethernet1,10.255.250.9/31,super-spine,super-spine-1,Ethernet3,10.255.250.8/31
spine,pod2-spine-1,Ethernet2,10.255.250.11/31,super-spine,super-spine-2,Ethernet3,10.255.250.10/31
spine,pod2-spine-2,Ethernet1,10.255.250.13/31,super-spine,super-spine-1,Ethernet4,10.255.250.12/31
spine,pod2-spine-2,Ethernet2,10.255.250.15/31,super-spine,super-spine-2,Ethernet4,10.255.250.14/31
l3leaf,pod3-leaf-1,Ethernet1,10.255.253.1/31,spine,pod3-spine-1,Ethernet3,10.255.253.0/31
l3leaf,pod3-leaf-1,Ethernet2,10.255.253.3/31,spine,pod3-spine-2,Ethernet3,10.255.253.2/31
l3leaf,pod3-leaf-2,Ethernet1,10.255.253.5/31,spine,pod3-spine-1,Ethernet4,10.255.253.4/31
l3leaf,pod3-leaf-2,Ethernet2,10.255.253.7/31,spine,pod3-spine-2,Ethernet4,10.255.253.6/31
l3leaf,pod3-leaf-3,Ethernet1,10.255.253.9/31,spine,pod3-spine-1,Ethernet5,10.255.253.8/31
l3leaf,pod3-leaf-3,Ethernet2,10.255.253.11/31,spine,pod3-spine-2,Ethernet5,10.255.253.10/31
l3leaf,pod3-leaf-4,Ethernet1,10.255.253.13/31,spine,pod3-spine-1,Ethernet6,10.255.253.12/31
l3leaf,pod3-leaf-4,Ethernet2,10.255.253.15/31,spine,pod3-spine-2,Ethernet6,10.255.253.14/31
spine,pod3-spine-1,Ethernet1,10.255.250.17/31,super-spine,super-spine-1,Ethernet5,10.255.250.16/31
spine,pod3-spine-1,Ethernet2,10.255.250.19/31,super-spine,super-spine-2,Ethernet5,10.255.250.18/31
spine,pod3-spine-2,Ethernet1,10.255.250.21/31,super-spine,super-spine-1,Ethernet6,10.255.250.20/31
spine,pod3-spine-2,Ethernet2,10.255.250.23/31,super-spine,super-spine-2,Ethernet6,10.255.250.22/31
l3leaf,pod4-leaf-1,Ethernet1,10.255.252.1/31,spine,pod4-spine-1,Ethernet3,10.255.252.0/31
l3leaf,pod4-leaf-1,Ethernet2,10.255.252.3/31,spine,pod4-spine-2,Ethernet3,10.255.252.2/31
l3leaf,pod4-leaf-2,Ethernet1,10.255.252.5/31,spine,pod4-spine-1,Ethernet4,10.255.252.4/31
l3leaf,pod4-leaf-2,Ethernet2,10.255.252.7/31,spine,pod4-spine-2,Ethernet4,10.255.252.6/31
l3leaf,pod4-leaf-3,Ethernet1,10.255.252.9/31,spine,pod4-spine-1,Ethernet5,10.255.252.8/31
l3leaf,pod4-leaf-3,Ethernet2,10.255.252.11/31,spine,pod4-spine-2,Ethernet5,10.255.252.10/31
l3leaf,pod4-leaf-4,Ethernet1,10.255.252.13/31,spine,pod4-spine-1,Ethernet6,10.255.252.12/31
l3leaf,pod4-leaf-4,Ethernet2,10.255.252.15/31,spine,pod4-spine-2,Ethernet6,10.255.252.14/31
l3leaf,pod4-leaf-5,Ethernet1,10.255.252.17/31,spine,pod4-spine-1,Ethernet7,10.255.252.16/31
l3leaf,pod4-leaf-5,Ethernet2,10.255.252.19/31,spine,pod4-spine-2,Ethernet7,10.255.252.18/31
l3leaf,pod4-leaf-6,Ethernet1,10.255.252.21/31,spine,pod4-spine-1,Ethernet8,10.255.252.20/31
l3leaf,pod4-leaf-6,Ethernet2,10.255.252.23/31,spine,pod4-spine-2,Ethernet8,10.255.252.22/31
l3leaf,pod4-leaf-7,Ethernet1,10.255.252.25/31,spine,pod4-spine-1,Ethernet9,10.255.252.24/31
l3leaf,pod4-leaf-7,Ethernet2,10.255.252.27/31,spine,pod4-spine-2,Ethernet9,10.255.252.26/31
l3leaf,pod4-leaf-8,Ethernet1,10.255.252.29/31,spine,pod4-spine-1,Ethernet10,10.255.252.28/31
l3leaf,pod4-leaf-8,Ethernet2,10.255.252.31/31,spine,pod4-spine-2,Ethernet10,10.255.252.30/31
l3leaf,pod4-leaf-9,Ethernet1,10.255.252.33/31,spine,pod4-spine-1,Ethernet11,10.255.252.32/31
l3leaf,pod4-leaf-9,Ethernet2,10.255.252.35/31,spine,pod4-spine-2,Ethernet11,10.255.252.34/31
l3leaf,pod4-leaf-10,Ethernet1,10.255.252.37/31,spine,pod4-spine-1,Ethernet12,10.255.252.36/31
l3leaf,pod4-leaf-10,Ethernet2,10.255.252.39/31,spine,pod4-spine-2,Ethernet12,10.255.252.38/31
l3leaf,pod4-leaf-11,Ethernet1,10.255.252.41/31,spine,pod4-spine-1,Ethernet13,10.255.252.40/31
l3leaf,pod4-leaf-11,Ethernet2,10.255.252.43/31,spine,pod4-spine-2,Ethernet13,10.255.252.42/31
l3leaf,pod4-leaf-12,Ethernet1,10.255.252.45/31,spine,pod4-spine-1,Ethernet14,10.255.252.44/31
l3leaf,pod4-leaf-12,Ethernet2,10.255.252.47/31,spine,pod4-spine-2,Ethernet14,10.255.252.46/31
l3leaf,pod4-leaf-13,Ethernet1,10.255.252.49/31,spine,pod4-spine-1,Ethernet15,10.255.252.48/31
l3leaf,pod4-leaf-13,Ethernet2,10.255.252.51/31,spine,pod4-spine-2,Ethernet15,10.255.252.50/31
l3leaf,pod4-leaf-14,Ethernet1,10.255.252.53/31,spine,pod4-spine-1,Ethernet16,10.255.252.52/31
l3leaf,pod4-leaf-14,Ethernet2,10.255.252.55/31,spine,pod4-spine-2,Ethernet16,10.255.252.54/31
l3leaf,pod4-leaf-15,Ethernet1,10.255.252.57/31,spine,pod4-spine-1,Ethernet17,10.255.252.56/31
l3leaf,pod4-leaf-15,Ethernet2,10.255.252.59/31,spine,pod4-spine-2,Ethernet17,10.255.252.58/31
l3leaf,pod4-leaf-16,Ethernet1,10.255.252.61/31,spine,pod4-spine-1,Ethernet18,10.255.252.60/31
l3leaf,pod4-leaf-16,Ethernet2,10.255.252.63/31,spine,pod4-spine-2,Ethernet18,10.255.252.62/31
l3leaf,pod4-leaf-17,Ethernet1,10.255.252.65/31,spine,pod4-spine-1,Ethernet19,10.255.252.64/31
l3leaf,pod4-leaf-17,Ethernet2,10.255.252.67/31,spine,pod4-spine-2,Ethernet19,10.255.252.66/31
l3leaf,pod4-leaf-18,Ethernet1,10.255.252.69/31,spine,pod4-spine-1,Ethernet20,10.255.252.68/31
l3leaf,pod4-leaf-18,Ethernet2,10.255.252.71/31,spine,pod4-spine-2,Ethernet20,10.255.252.70/31
l3leaf,pod4-leaf-19,Ethernet1,10.255.252.73/31,spine,pod4-spine-1,Ethernet21,10.255.252.72/31
l3leaf,pod4-leaf-19,Ethernet2,10.255.252.75/31,spine,pod4-spine-2,Ethernet21,10.255.252.74/31
l3leaf,pod4-leaf-20,Ethernet1,10.255.252.77/31,spine,pod4-spine-1,Ethernet22,10.255.252.76/31
l3leaf,pod4-leaf-20,Ethernet2,10.255.252.79/31,spine,pod4-spine-2,Ethernet22,10.255.252.78/31
l3leaf,pod4-leaf-21,Ethernet1,10.255.252.81/31,spine,pod4-spine-1,Ethernet23,10.255.252.80/31
l3leaf,pod4-leaf-21,Ethernet2,10.255.252.83/31,spine,pod4-spine-2,Ethernet23,10.255.252.82/31
l3leaf,pod4-leaf-22,Ethernet1,10.255.252.85/31,spine,pod4-spine-1,Ethernet24,10.255.252.84/31
l3leaf,pod4-leaf-22,Ethernet2,10.255.252.87/31,spine,pod4-spine-2,Ethernet24,10.255.252.86/31
l3leaf,pod4-leaf-23,Ethernet1,10.255.252.89/31,spine,pod4-spine-1,Ethernet25,10.255.252.88/31
l3leaf,pod4-leaf-23,Ethernet2,10.255.252.91/31,spine,pod4-spine-2,Ethernet25,10.255.252.90/31
l3leaf,pod4-leaf-24,Ethernet1,10.255.252.93/31,spine,pod4-spine-1,Ethernet26,10.255.252.92/31
l3leaf,pod4-leaf-24,Ethernet2,10.255.252.95/31,spine,pod4-spine-2,Ethernet26,10.255.252.94/31
l3leaf,pod4-leaf-25,Ethernet1,10.255.252.97/31,spine,pod4-spine-1,Ethernet27,10.255.252.96/31
l3leaf,pod4-leaf-25,Ethernet2,10.255.252.99/31,spine,pod4-spine-2,Ethernet27,10.255.252.98/31
l3leaf,pod4-leaf-26,Ethernet1,10.255.252.101/31,spine,pod4-spine-1,Ethernet28,10.255.252.100/31
l3leaf,pod4-leaf-26,Ethernet2,10.255.252.103/31,spine,pod4-spine-2,Ethernet28,10.255.252.102/31
spine,pod4-spine-1,Ethernet1,10.255.250.25/31,super-spine,super-spine-1,Ethernet7,10.255.250.24/31
spine,pod4-spine-1,Ethernet2,10.255.250.27/31,super-spine,super-spine-2,Ethernet7,10.255.250.26/31
spine,pod4-spine-2,Ethernet1,10.255.250.29/31,super-spine,super-spine-1,Ethernet8,10.255.250.28/31
spine,pod4-spine-2,Ethernet2,10.255.250.31/31,super-spine,super-spine-2,Ethernet8,10.255.250.30/31
l3leaf,services-leaf-1,Ethernet1,10.255.251.65/31,super-spine,super-spine-1,Ethernet17,10.255.251.64/31
l3leaf,services-leaf-1,Ethernet2,10.255.251.67/31,super-spine,super-spine-2,Ethernet17,10.255.251.66/31
l3leaf,services-leaf-2,Ethernet1,10.255.251.69/31,super-spine,super-spine-1,Ethernet18,10.255.251.68/31
l3leaf,services-leaf-2,Ethernet2,10.255.251.71/31,super-spine,super-spine-2,Ethernet18,10.255.251.70/31
